GICS Sector,ticker,open,closed,high,low,index,time_span,time_value,start_date
Industrials,MMM,"[107.81   107.82   107.65   107.52   107.515  107.2501 107.26   107.55
 107.47   106.78   106.08   105.94]","[107.38 107.72 107.51 107.52 107.25 107.26 107.55 107.46 106.77 106.14
 105.88 105.94]","[107.81   107.94   108.0099 108.12   107.72   107.59   107.56   107.67
 107.47   106.8    106.08   105.94  ]","[107.38   107.42   107.09   107.3317 107.2    107.23   107.15   107.3
 106.75   106.06   105.88   105.94  ]",[ 0  1  2  3  4  5  6  7  8  9 10 11],hour,1,3/22/2024
Industrials,AOS,[89.95 89.54 89.59 89.05 89.09 89.13 89.43 89.6   89.28],[89.96  89.56  89.065 89.08  89.13  89.44  89.6   89.24  89.28 ],[89.96  89.82  89.675 89.22  89.195 89.47  89.65  89.6   89.28 ],[89.95 89.54 88.95 88.94 89.04 89.11 89.35 89.21 89.28],[0 1 2 3 4 5 6 7 8],hour,1,3/22/2024
Health Care,ABT,"[111.84   112.11   111.7816 111.7    111.18   111.03   110.87   111.16
 110.795  110.57   110.6674  110.5801]","[111.84   111.72   111.68   111.185  111.03   110.8653 111.16   110.8
 110.56   110.59   110.669  110.5801]","[111.84   112.11   111.98   111.91   111.37   111.03   111.18   111.23
 110.95   110.59   110.669  110.5801]","[111.84   111.69   111.38   111.17   111.01   110.75   110.71   110.66
 110.5439 110.57   110.6674 110.5801]",[ 0  1  2  3  4  5  6  7  8  9 10 11],hour,1,3/22/2024
Health Care,ABBV,"[177.56   177.11   177.29   177.79   177.99   178.0876 178.495  178.65
 178.45   178.      178.8]","[177.8   177.27  177.8   178.005 178.055 178.49  178.66  178.44  178.
 178.    179.   ]","[177.8    177.8    178.33   178.29   178.13   178.54   178.6875 178.99
 178.45   178.     179.    ]","[177.56 176.78 177.15 177.54 177.68 177.99 178.3  178.22 178.   178.
 178.8 ]",[ 0  1  2  3  4  5  6  7  8  9 10],hour,1,3/22/2024
Information Technology,ACN,"[346.64   347.45   347.1    343.44   339.15   339.86   340.18   339.3604
 337.81   337.5     337]","[346.25  347.02  343.54  339.15  339.755 340.155 339.365 337.79  337.49
 337.51  337.   ]","[346.64  347.45  351.25  343.63  341.355 340.28  340.34  339.59  338.05
 337.51  337.   ]","[346.21   346.25   343.31   338.74   339.07   338.6114 339.27   337.14
 335.79   337.5    337.    ]",[ 0  1  2  3  4  5  6  7  8  9 10],hour,1,3/22/2024
Information Technology,ADBE,"[510.71  509.12  504.205 502.826 500.75  500.175 500.84  498.44  499.52
 499.95  505.64   500.07]","[509.8    504.17   502.78   500.96   500.3075 500.91   498.34   499.47
 499.95   500.     500.74   500.5   ]","[512.528  511.59   505.4271 504.01   503.17   501.4142 501.     501.78
 505.     500.65   505.64   500.65  ]","[509.8   503.73  502.56  497.5   499.835 498.77  496.67  498.37  499.01
 499.95  500.74  500.07 ]",[ 0  1  2  3  4  5  6  7  8  9 10 11],hour,1,3/22/2024
Information Technology,AMD,"[179.49   179.72   179.51   179.09   178.98   178.05   175.965  176.07
 177.275  178.97   180.14   179.9825 179.65   179.11   179.12    179.1101]","[179.7    179.46   178.85   177.55   178.05   175.958  176.0741 177.2868
 178.9686 180.1599 179.99   179.6    179.11   179.13   179.11   179.11  ]","[179.77  179.9   179.51  179.2   179.278 179.14  176.91  178.4   179.2
 180.76  180.32  180.1   179.68  179.65  179.25  179.3  ]","[179.1   179.2   178.85  177.37  177.23  175.24  175.05  175.895 176.71
 178.92  179.23  178.96  179.07  179.    179.04  178.9  ]",[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],hour,1,3/22/2024
Utilities,AES,"[15.86   15.86   15.94   16.16   16.105  16.205  16.285  16.275  16.23 
 16.3658]","[15.85   15.945  16.16   16.105  16.205  16.285  16.275  16.225  16.
 16.3658]","[15.87   16.07   16.25   16.22   16.275  16.295  16.305  16.335  16.35
 16.3658]","[15.85   15.82   15.94   16.04   16.03   16.145  16.23   16.21   16.
 16.3658]",[0 1 2 3 4 5 6 7 8 9],hour,1,3/22/2024
Financials,AFL,[85.25   85.11   84.82   84.83   85.01   84.76   84.63   84.5537     84.16],[85.25  84.8   84.81  85.01  84.765 84.62  84.555 84.16  84.16 ],[85.25  85.22  85.02  85.06  85.015 84.78  84.735 84.555 84.16 ],[85.25 84.74 84.79 84.82 84.75 84.61 84.54 84.15 84.16],[0 1 2 3 4 5 6 7 8],hour,1,3/22/2024
Health Care,A,[148.85 148.53 146.89 146.99 146.66 147.39 147.43    147.45],[148.53  146.835 147.03  146.645 147.365 147.44  147.45  147.45 ],[149.28 148.56 147.63 147.03 147.37 147.51 147.58 147.45],[148.27  146.835 146.87  146.42  146.54  147.16  147.12  147.45 ],[0 1 2 3 4 5 6 7],hour,1,3/22/2024
Materials,APD,,,,,,,,
Consumer Discretionary,ABNB,,,,,,,,
Information Technology,AKAM,,,,,,,,
Materials,ALB,,,,,,,,
Real Estate,ARE,,,,,,,,
Health Care,ALGN,,,,,,,,
Industrials,ALLE,,,,,,,,
Utilities,LNT,,,,,,,,
Financials,ALL,,,,,,,,
