open,closed,high,low,index
171.68,171.63,171.74,171.15,0
171.63,171.74,171.8,171.63,1
171.82,171.45,171.84,171.4,2
171.5,171.05,171.75,171.02,3
171.66,172.05,172.11,170.96,4
172.0498,171.03,172.55,170.06,5
171.04,171.89,172.56,170.87,6
171.885,172.59,172.88,171.81,7
172.5904,172.65,172.9,172.08,8
172.64,172.665,172.94,170.9006,9
172.66,172.7499,172.935,172.37,10
172.7498,172.25,173.05,172.23,11
172.28,172.42,172.46,172.25,12
172.42,172.2054,172.44,172.16,13
172.24,172.18,172.27,172.12,14
172.12,172.29,172.3,172.08,15
