open,closed,high,low,index
179.49,179.7,179.77,179.1,0
179.72,179.46,179.9,179.2,1
179.51,178.85,179.51,178.85,2
179.09,177.55,179.2,177.37,3
178.98,178.05,179.278,177.23,4
178.05,175.958,179.14,175.24,5
175.965,176.0741,176.91,175.05,6
176.07,177.2868,178.4,175.895,7
177.275,178.9686,179.2,176.71,8
178.97,180.1599,180.76,178.92,9
180.14,179.99,180.32,179.23,10
179.9825,179.6,180.1,178.96,11
179.65,179.11,179.68,179.07,12
179.11,179.13,179.65,179.0,13
179.12,179.11,179.25,179.04,14
179.1101,179.11,179.3,178.9,15
