open,closed,high,low,index
178.2,178.84,178.84,178.2,0
178.86,178.67,178.86,178.37,1
178.58,178.55,178.74,178.51,2
178.56,177.97,178.6,177.9,3
178.5988,177.95,178.65,177.56,4
178.0,177.67,178.3,176.75,5
177.68,178.06,178.47,177.68,6
178.065,178.59,178.68,178.02,7
178.6,178.63,178.98,178.455,8
178.63,179.05,179.16,178.63,9
179.0599,179.055,179.255,178.95,10
179.05,178.87,179.1981,178.7023,11
178.87,178.71,179.15,178.56,12
178.77,178.7,178.84,178.58,13
178.8,178.6006,178.87,178.6006,14
178.63,178.84,178.84,178.59,15
