open,closed,high,low,index
1360.0,1361.01,1361.01,1360.0,0
1369.0,1369.0,1369.0,1369.0,1
1362.0,1357.0,1362.0,1357.0,2
1364.0,1353.0,1364.99,1344.358,3
1353.0,1363.075,1372.97,1346.15,4
1362.955,1363.83,1368.3,1358.1,5
1363.215,1366.5826,1374.33,1363.1,6
1367.08,1371.13,1376.22,1358.83,7
1371.2,1372.425,1374.305,1367.2489,8
1372.48,1359.06,1373.62,1356.13,9
1358.72,1353.46,1359.29,1347.0,10
1353.47,1355.8,1357.7718,1353.47,11
1357.0,1357.0,1357.0,1353.47,12
1353.47,1356.01,1356.3,1353.47,13
1358.0,1356.0,1362.5,1356.0,14
