open,closed,high,low,index
297.53,297.42,297.55,297.24,0
297.98,297.5,298.0,297.41,1
297.75,298.63,298.63,297.62,2
298.17,295.8,298.5,295.0,3
298.02,292.91,299.2,292.5,4
293.0,286.085,293.0,281.3977,5
286.07,286.41,288.6,285.21,6
286.38,285.26,286.4299,284.12,7
285.2462,284.79,285.84,283.93,8
284.65,283.8003,284.66,282.71,9
283.67,283.8251,283.965,282.8,10
283.81,284.27,285.0,283.205,11
284.32,284.09,284.32,283.75,12
284.05,283.99,284.08,283.76,13
283.85,283.8,284.0,283.8,14
283.5,283.5,283.5,283.5,15
