open,closed,high,low,index
148.6,148.8,148.8,148.27,0
148.86,149.11,149.21,148.84,1
149.21,149.5,149.81,149.21,2
149.5,149.1,149.5,149.03,3
149.48,149.62,149.76,147.01,4
149.7,151.92,152.23,149.7,5
151.93,152.25,152.55,151.59,6
152.25,151.58,152.56,151.5201,7
151.58,151.8,151.824,151.115,8
151.795,151.71,151.89,151.395,9
151.705,151.5015,151.94,151.45,10
151.505,151.73,152.19,151.03,11
151.77,151.5,152.03,151.46,12
151.48,151.39,151.7,151.39,13
151.47,151.56,151.7,151.422,14
151.68,151.52,151.79,151.52,15
