open,closed,high,low,index
147.26,147.8,147.83,147.26,0
147.72,148.01,148.1,147.72,1
148.06,148.48,148.8,148.01,2
148.34,148.0,148.34,147.64,3
148.39,148.5798,148.64,145.72,4
148.568,150.8694,151.21,148.568,5
150.8785,151.244,151.505,150.59,6
151.245,150.646,151.58,150.61,7
150.65,150.87,150.8972,150.19,8
150.86,150.8,150.97,150.46,9
150.79,150.595,151.03,150.545,10
150.6,150.77,151.29,150.41,11
150.77,150.51,151.22,150.49,12
150.51,150.48,150.76,150.48,13
150.5,150.6,150.77,150.4712,14
150.7,150.66,150.77,150.6001,15
