open,closed,high,low,index
422.81,418.0,423.0,417.99,0
418.0,419.99,420.0,418.0,1
419.5,419.2,420.0,418.0,2
419.0,413.5,420.0,413.0,3
419.75,416.0,420.0,412.75,4
416.5,397.1935,418.7,396.0,5
397.37,389.4618,401.33,387.11,6
389.5,397.71,398.59,388.001,7
397.93,405.755,405.76,396.1048,8
405.69,404.9815,409.73,404.5,9
404.8201,406.375,407.56,404.53,10
406.32,403.25,408.4,402.3101,11
403.19,403.3,403.55,401.8,12
403.49,406.0,406.2,403.0352,13
405.0,405.56,405.82,404.5,14
405.56,405.78,406.0,404.6,15
