open,closed,high,low,index
430.06,429.97,430.1,429.79,0
430.34,430.43,430.43,430.34,1
430.8,430.8,431.61,430.8,2
430.81,428.33,430.83,428.1,3
430.73,428.42,430.7816,428.0,4
428.52,427.95,429.76,427.18,5
427.96,427.08,429.1,426.71,6
427.085,427.11,427.66,426.11,7
427.14,428.3599,428.36,426.07,8
428.34,429.2,429.22,428.25,9
429.1971,429.1403,429.86,428.96,10
429.13,428.68,429.7,428.07,11
428.74,428.56,429.18,428.02,12
428.5,428.5,428.5,428.2601,13
428.5,428.17,429.69,428.15,14
428.2,428.5,428.5,428.2,15
