open,closed,high,low,index
110.11,111.11,111.11,110.1,0
111.23,111.58,111.87,111.23,1
111.58,110.81,111.59,110.81,2
110.7,109.68,111.1,109.52,3
110.99,109.9096,111.15,109.44,4
109.91,109.41,110.15,108.6,5
109.41,107.8424,109.48,107.0548,6
107.84,108.2106,109.2,107.81,7
108.22,109.42,109.65,108.02,8
109.415,111.22,111.34,109.2401,9
111.22,110.6843,111.22,110.4,10
110.6849,110.195,110.6899,109.78,11
110.21,110.08,110.23,109.93,12
110.1,110.2,110.21,110.1,13
110.2,110.1,110.38,110.01,14
110.1,110.1,110.23,109.95,15
