open,closed,high,low,index
916.0,920.5,921.0,914.4,0
920.5,919.88,921.33,917.97,1
919.74,916.25,919.88,915.2,2
916.5,909.5,917.6,908.02,3
917.35,911.9,917.6939,908.0,4
912.0,920.04,922.0297,908.3401,5
920.19,928.05,931.3,920.04,6
928.05,941.46,941.94,927.5,7
941.43,943.8836,946.98,939.18,8
943.74,946.9,947.7799,941.82,9
946.8999,940.73,946.9,937.78,10
940.738,942.45,944.85,934.43,11
942.89,940.0,944.4,939.32,12
940.1,942.6,942.9867,939.73,13
942.64,942.11,942.89,941.3,14
942.1,940.2,942.12,939.8,15
