,ticker,GICS Sector,time_span,time_value,start_date
0,MMM,Industrials,hour,1,3/22/2024
1,AOS,Industrials,hour,1,3/22/2024
2,ABT,Health Care,hour,1,3/22/2024
3,ABBV,Health Care,hour,1,3/22/2024
4,ACN,Information Technology,hour,1,3/22/2024
5,ADBE,Information Technology,hour,1,3/22/2024
6,AMD,Information Technology,hour,1,3/22/2024
7,AES,Utilities,hour,1,3/22/2024
8,AFL,Financials,hour,1,3/22/2024
9,A,Health Care,hour,1,3/22/2024
10,APD,Materials,hour,1,3/22/2024
11,ABNB,Consumer Discretionary,hour,1,3/22/2024
12,AKAM,Information Technology,hour,1,3/22/2024
13,ALB,Materials,hour,1,3/22/2024
14,ARE,Real Estate,hour,1,3/22/2024
15,ALGN,Health Care,hour,1,3/22/2024
16,ALLE,Industrials,hour,1,3/22/2024
17,LNT,Utilities,hour,1,3/22/2024
18,ALL,Financials,hour,1,3/22/2024
19,GOOGL,Communication Services,hour,1,3/22/2024
20,GOOG,Communication Services,hour,1,3/22/2024
21,MO,Consumer Staples,hour,1,3/22/2024
22,AMZN,Consumer Discretionary,hour,1,3/22/2024
23,AMCR,Materials,hour,1,3/22/2024
24,AEE,Utilities,hour,1,3/22/2024
25,AAL,Industrials,hour,1,3/22/2024
26,AEP,Utilities,hour,1,3/22/2024
27,AXP,Financials,hour,1,3/22/2024
28,AIG,Financials,hour,1,3/22/2024
29,AMT,Real Estate,hour,1,3/22/2024
30,AWK,Utilities,hour,1,3/22/2024
31,AMP,Financials,hour,1,3/22/2024
32,AME,Industrials,hour,1,3/22/2024
33,AMGN,Health Care,hour,1,3/22/2024
34,APH,Information Technology,hour,1,3/22/2024
35,ADI,Information Technology,hour,1,3/22/2024
36,ANSS,Information Technology,hour,1,3/22/2024
37,AON,Financials,hour,1,3/22/2024
38,APA,Energy,hour,1,3/22/2024
39,AAPL,Information Technology,hour,1,3/22/2024
40,AMAT,Information Technology,hour,1,3/22/2024
41,APTV,Consumer Discretionary,hour,1,3/22/2024
42,ACGL,Financials,hour,1,3/22/2024
43,ADM,Consumer Staples,hour,1,3/22/2024
44,ANET,Information Technology,hour,1,3/22/2024
45,AJG,Financials,hour,1,3/22/2024
46,AIZ,Financials,hour,1,3/22/2024
47,T,Communication Services,hour,1,3/22/2024
48,ATO,Utilities,hour,1,3/22/2024
